1,06/01/2018,09/01/2018,Java I, Introduction to Java,20
Course ID|Start Date|End Date|Name|Description|Max Enrollment
00209|07/09/2018|08/12/2018|Angular|Angular is an open-source JavaScript framework sponsored and maintained by Google, which empowers developers to quickly build modern UI applications that live on the web, mobile, or the desktop. Angular makes it easy to develop complex web applications using powerful designs and best practices in web development. In this class you will learn how to use Angular to build extendable, maintainable, testable and standardized web components and robust web applications. In addition, you will learn how to apply best practices for the most flexibility, reusability and easy development on all portable devices.|35
00214|07/09/2018|08/12/2018|Agile Development|Agile techniques are rapidly becoming integral parts of the project management process and are often implemented to motivate cultural shifts required to stimulate innovation and improved operational efficiency. In this second class in the two course series (first being Agile Project Management) on management of projects using lean and agile methods, students will learn important differences between evaluation and tracking of in agile and traditional projects. Additional topics include: scaling agile to large projects and distributed team; cooperative methods for problem and decision analysis; agile contracts and contracting; writing great user stories; agile technical practices; agile standardization and certification; and team work in high-performance teams. The use of agile methods as tools to motivate innovative, cultural and organizational change will also be discussed.|35
00215|07/09/2018|08/12/2018|Agile Software Design and Programming|Learn the principles, practices and patterns that result in optimal software design and development. Utilize the best practices from object-oriented design and Agile techniques/frameworks to create design processes and culture that result in highly effective, clean software to improve organizational efficiency and create a competitive advantage for your company. You will review a variety of case studies–from simple to complex–in multiple programming languages, illustrating the fundamentals of Agile development and Agile design. Topics include: release and iteration planning, test-driven development, refactoring, Agile design (including “design smells”, “code rot”), Single-Responsibility Principle (SRP), Open-Closed Principle (OCP), Liskov Substitution Principle (LSP), object and state diagrams, big software design issues, design patterns, class design, complexity management and package design, and the use of OOD and C++ in an Agile environment.|35
00205|07/09/2018|08/26/2018|Artificial Neural Networks|Artificial Neural Networks are at the forefront of artificial intelligence enabling machines to talk to us, translate languages, color black and white pictures, caption artifacts, and create music. While classical machine learning methods are dependent upon identifiable features in the input data, artificial neural networks build complex concepts same way the human brain processes large but simpler stimuli to classify, recognize, analyze and synthesize. Artificial Neural Networks are also called deep learning systems due to the quintessential layering of the network from simple to complex concepts. Artificial Neural Networks are capable of utilizing a wide range of data sets including unstructured data such as text, speech, images, audio and video. Talking products from Apple, Amazon, Microsoft, and Google all use artificial neural networks as do Tesla’s self-driving cars. Artificial neural networks are also increasingly being used in NLU (Natural Language Understanding). In this course, students will learn applications of artificial neural networks for solving artificial intelligence tasks. Students will explore design, architecture, and applications of networks for practical applications. Student will learn how artificial neural networks such as multilayered perceptron are implemented in Python. Student will also learn popular tool sets including TensorFlow and Keras and their use in implementing scalable Artificial Intelligence Systems.|24
00070|07/09/2018|09/16/2018|Biomedical Business and Legal Management Essentials|Increase your knowledge of business and legal issues in the biomedical industry. Participants will learn to discern the rationale behind policies and procedures in a highly regulated industry. A top down approach is taken to introduce broad business and legal concepts and relating them specifically to design, development, and commercialization of medical device and pharmaceutical products. Topics include: corporate structure, corporate formation; and early stage financing, contracts, licensing, formation, intellectual property, due diligence and sale.|45
00153|07/16/2018|09/02/2018|Business Ethics and Workplace Politics|Each and every day, leaders are faced with situations that challenge their ethical framework – some with disastrous results. Throughout the duration of this course, students will learn to identify and better articulate their ethical framework, identify those factors that cause leaders to make ethical compromises, work to establish ethical boundaries, and leverage tools and resources to avoid ethical mis-steps.|30
00095|07/02/2018|09/09/2018|Business Intelligence/Data Warehouse|Learn how to make better business decisions, use fewer resources, and improve your company's bottom line by developing and using a data warehouse. This course provides an overview of business intelligence and data warehousing and gives you a look at all the major facets of developing and using a data warehouse to make effective business decisions. You'll work on a single project that allows you to develop a project plan and business case for a data warehouse, develop a dimensional model, develop a data staging process, and develop a data access process. You'll also learn about careers working with business intelligence and data warehousing as well as the educational requirements for this field.|35
00072|07/09/2018|08/12/2018|C Programming for Embedded Systems|Embedded firmware can be found in many electronic devices today. Increase your understanding of the essential embedded language features required for embedded systems programming. Embedded firmware developers benefit from this hands-on course by expanding their knowledge of using pointers and arrays, bit manipulation, using key words such as" volatile" and "register", and learning more about source code solutions to common embedded firmware problems. We will also learn some best practices in firmware design, such as revision control, code review and debugging.|35
00085|07/09/2018|09/16/2018|Clinical Trials Project Management|Structuring the knowledge and expertise to conduct a clinical trial is instrumental in establishing your project plan. Learn how to organize your clinical trials project teams, define specific responsibilities for each team member, and create a project plan for either U.S. trails or Global trials. Participants will evaluate clinical and regulatory strategies for U.S. and Global approvals and become familiar with common standards of operation (SOPs) for clinical trials. Also addressed is the financial management of a clinical trial, negotiating contracts, and understanding how to interact with contract research organizations (CRO's).|30
00181|06/27/2018|09/05/2018|Contracts|Examine the essential principles of contract law. The elements of an enforceable contract, who can enter into a contract, defenses to formation of contract, and legal and equitable remedies for breaches of contract will be explored.|25
00189|06/27/2018|09/05/2018|Criminal Law|Examine the practical aspects of criminal law and procedure. Crimes and legal defenses, search and seizure considerations, arrest procedures, pre-trial matters, criminal trials, sentencing, appeals, and professional responsibility in the criminal justice system will be explored.|25
00196|07/09/2018|09/02/2018|Data Modeling|In this course you will learn how to develop data models which are used to publish the information that organizations rely on for their day-to-day decision making processes. Basic data modeling techniques will be explored including capturing data requirements, analyzing data elements, identifying entities and attributes, and determining relationships between entities. Data models will be developed using the entity/relationship graphical model. Once a basic data model has been developed, students will be instructed on how to enhance the data model to manage and enhance the value of the data it contains. This will directly affect the quality of the information produced from the data, and provide an organization with the knowledge necessary to optimally perform its business functions. The emphasis of this course is on analysis and design rather than on the actual implementation of a database.|35
00096|07/02/2018|09/09/2018|Designing Dimensional Models|Learn how to build a high performance dimensional data model. A good dimensional model and its physical database form the hub of a business intelligence data warehouse, serving as the target of the data integration and as the source of business intelligence data. This course provides both introductory and advanced concepts and techniques for developing effective dimensional models. Learn how to design dimensional models for extensibility, employ a proven dimensional design process, apply the process to several representative situations, and understand a variety of advanced dimensional modeling techniques|35
00077|07/09/2018|09/16/2018|DSP for Communication Systems|Increase your expertise in digital signal processing for communications systems, essential DSP design methodologies and applications for the development of modern (DSP-intensive) communication systems. Course topics include: digital pulse shaping filters with efficient polyphase structure, digital modulation schemes (QAM, FSK, PSK), digital transceivers with sampling and automatic gain control, carrier recovery, timing recovery, equalization, and error correction coding. Participants will learn to model these components in MATLAB to gain hands-on experience with their implementations. Additional topics that may be presented are iterative receiver design, OFDM (applicable to LTE ,WiFi and more) and multiple antenna processing (MIMO), and wireless and mobile fading channels characterizations.|35
00080|07/16/2018|09/23/2018|Embedded Systems Architecture|Learn about the architecture of embedded systems and explore the difference between embedded design and traditional electronic device design. The special demands on embedded systems including real-time programming, portability, low power usage, and miniaturization dictate a different approach. The course introduces models, architectures, and covers such topics as specification, system partitioning, design quality, and developing synthesizable models.|35
